 Autoroute , Societe , Departement , Sens , PR , Absc , Echangeur , Type , Nom gare , Date 1ere m.s. , Site 
A28       ,COFIROUTE ,Orne,*,159,230,ALENCON NORD CERISE,Sur échangeur (diffuseur)                                                                           ,ALENCON NORD,22-06-2001,Gare isolée
A28       ,ALIS      ,Orne,*,182,9,SEES (ALIS),Sur échangeur (diffuseur)                                                                           ,SEES,27-10-2005,Gare principale d'un site de plusieurs gares
A28       ,ALIS      ,Orne,*,200,423,GACE,Sur échangeur (diffuseur)                                                                           ,GACE 2,27-10-2005,Gare isolée
A28       ,ALIS      ,Orne,*,200,424,GACE,Sur échangeur (diffuseur)                                                                           ,GACE 1,27-10-2005,Gare isolée
A28       ,ALIS      ,Eure,*,232,209,BROGLIE-ORBEC,Sur échangeur (diffuseur)                                                                           ,ORBEC 1,27-10-2005,Gare isolée
A28       ,ALIS      ,Eure,*,232,209,BROGLIE-ORBEC,Sur échangeur (diffuseur)                                                                           ,ORBEC 2,27-10-2005,Gare isolée
A28       ,ALIS      ,Eure,*,248,731,BERNAY,Sur échangeur (diffuseur)                                                                           ,BERNAY,27-10-2005,Gare isolée
A28       ,ALIS      ,Eure,*,270,981,BRIONNE,Sur échangeur (diffuseur)                                                                           ,BRIONNE,27-10-2005,Gare isolée
A28       ,ALIS      ,Eure,*,285,900,,Barrière pleine voie sur l'autoroute                                                                ,ROUMOIS,27-10-2005,Gare isolée
A29       ,SAPN      ,Calvados,*,2,0,,Barrière pleine voie sur l'autoroute                                                                ,QUETTEVILLE,10-12-1998,Gare isolée
A29       ,SAPN      ,Calvados,*,13,500,PLATEAU,Sur échangeur (diffuseur)                                                                           ,PLATEAU-HONFLEUR,10-12-1998,Gare isolée
A29       ,SAPN      ,Seine Maritime,*,34,136,,Barrière pleine voie sur l'autoroute                                                                ,EPRETOT                                 ,25-05-1996,Gare isolée
A29       ,SAPN      ,Seine Maritime,*,34,436,SAINT ROMAIN DE COLBOSC,Gare sur bretelle d'échangeur                                                                       ,ST ROMAIN DE COLBOSC (Né3)              ,25-05-1996,Gare secondaire d'un site de plusieurs gares
A29       ,SAPN      ,Seine Maritime,*,34,436,SAINT ROMAIN DE COLBOSC,Gare sur bretelle d'échangeur                                                                       ,ST ROMAIN DE COLBOSC( Né4)              ,25-05-1996,Gare principale d'un site de plusieurs gares
A29       ,SAPN      ,Seine Maritime,*,34,436,,Gare sur bretelle d'échangeur                                                                       ,ST ROMAIN DE COLBOSC (Né1),25-05-1996,Gare secondaire d'un site de plusieurs gares
A29       ,SAPN      ,Seine Maritime,*,34,436,,Gare sur bretelle d'échangeur                                                                       ,ST ROMAIN DE COLBOSC (Né2),25-05-1996,Gare secondaire d'un site de plusieurs gares
A29       ,SAPN      ,Seine Maritime,*,43,166,BOLBEC,Sur échangeur (diffuseur)                                                                           ,BOLBEC                                  ,25-05-1996,Gare isolée
A29       ,SAPN      ,Seine Maritime,*,60,33,FECAMP YVETOT,Sur échangeur (diffuseur)                                                                           ,FECAMP,25-05-1996,Gare isolée
A29       ,SAPN      ,Seine Maritime,*,75,198,YERVILLE,Sur échangeur (diffuseur)                                                                           ,YERVILLE,25-05-1996,Gare isolée
A29       ,SAPN      ,Seine Maritime,*,91,300,BEAUTOT    (BIFURCATION A29.A151),Sur échangeur (diffuseur)                                                                           ,BEAUTOT,10-12-1998,Gare isolée
A29       ,SAPN      ,Seine Maritime,*,105,500,,Barrière pleine voie sur l'autoroute                                                                ,COTTEVRARD,10-12-1998,Gare isolée
A29       ,SANEF     ,Seine Maritime,*,143,46,,Barrière pleine voie sur l'autoroute                                                                ,HAUDRICOURT,14-01-2005,Gare principale d'un site de plusieurs gares
A29       ,SANEF     ,Seine Maritime,*,143,459,AUMALE,Sur échangeur (diffuseur)                                                                           ,AUMALE OUEST,14-01-2005,Gare secondaire d'un site de plusieurs gares
A29       ,SANEF     ,Seine Maritime,*,143,461,AUMALE,Sur échangeur (diffuseur)                                                                           ,AUMALE EST,14-01-2005,Gare secondaire d'un site de plusieurs gares
A29       ,SANEF     ,Somme,*,165,486,POIX DE PICARDIE,Sur échangeur (diffuseur)                                                                           ,POIX DE PICARDIE,14-01-2005,Gare isolée
A29       ,SANEF     ,Somme,*,191,470,,Barrière pleine voie sur l'autoroute                                                                ,DURY(BIF A16-A29 AMIENS SUD),20-10-1994,Gare isolée
A29       ,SANEF     ,Somme,*,201,512,,Barrière pleine voie sur l'autoroute                                                                ,JULES VERNE,28-06-2001,Gare isolée
A29       ,SANEF     ,Somme,*,210,588,VILLERS BRETONNEUX,Sur échangeur (diffuseur)                                                                           ,VILLIERS BRETONNEUX,06-11-2001,Gare isolée
A29       ,SANEF     ,Somme,*,232,476,,Gare sur bretelle d'échangeur                                                                       ,SANTERRE,28-06-2001,Gare isolée
A29       ,SANEF     ,Somme,*,245,238,ATHIES,Sur échangeur (diffuseur)                                                                           ,ATHIES,06-11-2001,Gare isolée
A31       ,APRR      ,Céte d'or,*,15,185,NUITS SAINT GEORGES,Sur échangeur (diffuseur)                                                                           ,NUITS SAINT GEORGES,04-06-1984,Gare isolée
A31       ,APRR      ,Céte d'or,*,47,369,DIJON EST (DIJON ARC SUR TILLE),Sur échangeur (diffuseur)                                                                           ,DIJON ARC  SUR TILLE,23-06-1989,Gare isolée
A31       ,APRR      ,Céte d'or,*,70,213,TIL CHATEL,Sur échangeur (diffuseur)                                                                           ,TILCHATEL,28-06-1983,Gare isolée
A31       ,APRR      ,Marne (Haute Marne),*,100,290,LANGRES SUD,Sur échangeur (diffuseur)                                                                           ,LANGRES SUD,04-06-1984,Gare isolée
A31       ,APRR      ,Marne (Haute Marne),*,119,900,ROLAMPONT LANGRES NORD,Sur échangeur (diffuseur)                                                                           ,LANGRES NORD,04-06-1984,Gare isolée
A31       ,APRR      ,Marne (Haute Marne),*,140,55,MONTIGNY LE ROI,Sur échangeur (diffuseur)                                                                           ,MONTIGNY LE ROI,04-06-1984,Gare isolée
A31       ,APRR      ,Vosges,*,162,0,,Gare sur bretelle d'échangeur                                                                       ,ROBECOURT EST,26-11-2001,Gare isolée
A31       ,APRR      ,Vosges,*,162,0,,Gare sur bretelle d'échangeur                                                                       ,ROBECOURT OUEST,26-11-2001,Gare isolée
A31       ,APRR      ,Vosges,*,175,951,BULGNEVILLE,Sur échangeur (diffuseur)                                                                           ,BULGNEVILLE,04-06-1984,Gare isolée
A31       ,APRR      ,Vosges,*,186,131,CHATENOIS,Sur échangeur (diffuseur)                                                                           ,CHATENOIS,04-06-1984,Gare isolée
A31       ,APRR      ,Meurthe et Moselle,*,214,792,COLOMBEY LES BELLES,Sur échangeur (diffuseur)                                                                           ,COLOMBEY LES BELLES,04-06-1984,Gare isolée
A31       ,APRR      ,Meurthe et Moselle,*,225,600,,Barrière pleine voie sur l'autoroute                                                                ,GYE,04-06-1984,Gare isolée
A311      ,APRR      ,Céte d'or,*,30,810,,Barrière pleine voie sur l'autoroute                                                                ,DIJON SUD,23-06-1989,Gare isolée
A36       ,APRR      ,Territoire de Belfort,*,24,300,,Barrière pleine voie sur l'autoroute                                                                ,FONTAINE,01-11-1976,Gare isolée
A36       ,APRR      ,Doubs,*,65,800,,Barrière pleine voie sur l'autoroute                                                                ,SAINT MAURICE,01-07-1977,Gare isolée
A36       ,APRR      ,Doubs,*,73,173,ISLE SUR LE DOUBS,Sur échangeur (diffuseur)                                                                           ,ISLE SUR LE DOUBS,30-05-1986,Gare isolée
A36       ,APRR      ,Doubs,*,90,516,BAUME LES DAMES,Sur échangeur (diffuseur)                                                                           ,BAUME LES DAMES,01-07-1977,Gare isolée
A36       ,APRR      ,Doubs,*,109,588,BESANCON EST,Sur échangeur (diffuseur)                                                                           ,BESANCON EST,30-06-1978,Gare isolée
A36       ,APRR      ,Doubs,*,124,241,BESANCON NORD,Sur échangeur (diffuseur)                                                                           ,BESANCON NORD,30-06-1978,Gare isolée
A36       ,APRR      ,Doubs,*,133,590,BESANCON OUEST,Sur échangeur (diffuseur)                                                                           ,BESANCON OUEST,30-06-1978,Gare isolée
A36       ,APRR      ,Jura,*,149,615,GENDREY,Sur échangeur (diffuseur)                                                                           ,GENDREY,27-03-1996,Gare isolée
A36       ,APRR      ,Jura,*,166,220,DOLE,Sur échangeur (diffuseur)                                                                           ,DOLE,29-07-1980,Gare isolée
A36       ,APRR      ,Céte d'or,*,195,898,SEURRE,Sur échangeur (diffuseur)                                                                           ,SEURRE,01-10-1980,Gare isolée
A39       ,APRR      ,Céte d'or,*,5,508,,Barrière pleine voie sur l'autoroute                                                                ,DIJON-CRIMOLOIS,04-12-1992,Gare isolée
A39       ,APRR      ,Céte d'or,*,21,568,SOIRANS,Sur échangeur (diffuseur)                                                                           ,SOIRANS,25-10-1994,Gare isolée
A39       ,APRR      ,Jura,*,40,637,CHOISEY,Sur échangeur (diffuseur)                                                                           ,CHOISEY,25-10-1994,Gare isolée
A39       ,APRR      ,Jura,*,93,650,BEAUREPAIRE EN BRESSE,Sur échangeur (diffuseur)                                                                           ,BEAUREPAIRE,03-06-1998,Gare isolée
A39       ,APRR      ,Saéne et Loire,*,108,846,LE MIROIR,Sur échangeur (diffuseur)                                                                           ,LE MIROIR,03-06-1998,Gare isolée
A39       ,APRR      ,Ain,*,121,876,BEAUPONT,Sur échangeur (diffuseur)                                                                           ,BEAUPONT,03-06-1998,Gare isolée
A391      ,APRR      ,Jura,*,1,0,,Barrière pleine voie sur l'autoroute                                                                ,BERSAILLIN,03-06-1998,Gare isolée
A4        ,SANEF     ,Seine et Marne,*,35,61,,Barrière pleine voie sur l'autoroute                                                                ,COUTEVROULT,20-10-1976,Gare isolée
A4        ,SANEF     ,Seine et Marne,*,54,174,,Gare sur bretelle d'échangeur                                                                       ,SAINT JEAN LES DEUX JUMEAUX,20-10-1976,Gare isolée
A4        ,SANEF     ,Seine et Marne,*,64,779,MONTREUIL AUX LIONS,Sur échangeur (diffuseur)                                                                           ,MONTREUIL AUX LIONS,15-07-1976,Gare isolée
A4        ,SANEF     ,Seine et Marne,*,65,200,,Barrière pleine voie sur l'autoroute                                                                ,MONTREUIL AUX LIONS,15-07-1976,Gare isolée
A4        ,SANEF     ,Aisne,*,85,710,,Gare sur bretelle d'échangeur                                                                       ,CHATEAU-THIERRY,22-11-2010,Gare isolée
A4        ,SANEF     ,Aisne,*,110,905,DORMANS,Sur échangeur (diffuseur)                                                                           ,DORMANS DIFFUSEUR,29-10-1975,Gare isolée
A4        ,SANEF     ,Marne,*,132,50,,Gare sur bretelle d'échangeur                                                                       ,THILLOIS,23-06-2011,Gare isolée
A4        ,SANEF     ,Marne,*,133,130,,Gare sur bretelle d'échangeur                                                                       ,ORMES,22-11-2010,Gare isolée
A4        ,SANEF     ,Marne,*,138,730,DIF RD951,Sur échangeur (diffuseur)                                                                           ,PORTES DU VIGNOBLE - CHAMPFLEURY,22-11-2010,Gare isolée
A4        ,SANEF     ,Marne,*,143,590,,Barrière pleine voie sur l'autoroute                                                                ,TAISSY,10-06-1976,Gare isolée
A4        ,SANEF     ,Marne,*,170,800,LA VEUVE,Sur échangeur (diffuseur)                                                                           ,LA VEUVE,01-07-1976,Gare isolée
A4        ,SANEF     ,Marne,*,171,10,LA VEUVE,Sur échangeur (diffuseur)                                                                           ,MOURMELON(CHALONS),01-07-1976,Gare isolée
A4        ,SANEF     ,Marne,*,179,612,SAINT ETIENNE AU TEMPLE,Sur échangeur (diffuseur)                                                                           ,SAINT ETIENNE AU TEMPLE                 ,22-10-1990,Gare isolée
A4        ,SANEF     ,Marne,*,212,198,SAINTE MENEHOULD,Sur échangeur (diffuseur)                                                                           ,SAINTE MENEHOULD                        ,01-09-1976,Gare isolée
A4        ,SANEF     ,Meuse,*,230,250,CLERMONT EN ARGONNE,Sur échangeur (diffuseur)                                                                           ,CLERMONT EN ARGONNE,27-10-2006,Gare isolée
A4        ,SANEF     ,Meuse,*,243,265,VOIE SACREE VERDUN,Sur échangeur (diffuseur)                                                                           ,VOIE SACRE,01-09-1976,Gare isolée
A4        ,SANEF     ,Meuse,*,254,0,VERDUN,Sur échangeur (diffuseur)                                                                           ,VERDUN,01-09-1976,Gare isolée
A4        ,SANEF     ,Meuse,*,270,338,FRESNES EN WOEVRE,Sur échangeur (diffuseur)                                                                           ,FRESNES EN WOEVRE,24-07-1975,Gare isolée
A4        ,SANEF     ,Meurthe et Moselle,*,292,811,JARNY,Sur échangeur (diffuseur)                                                                           ,JARNY,24-07-1975,Gare isolée
A4        ,SANEF     ,Meurthe et Moselle,*,294,719,,Barrière pleine voie sur l'autoroute                                                                ,BEAUMONT,24-07-1975,Gare isolée
A4        ,SANEF     ,Moselle,*,299,720,,Gare sur bretelle d'échangeur                                                                       ,SAINTE MARIE (ENTREE),24-07-1975,Gare isolée
A4        ,SANEF     ,Moselle,*,299,720,,Gare sur bretelle d'échangeur                                                                       ,SAINTE MARIE (SORTIE),24-07-1975,Gare isolée
A4        ,SANEF     ,Moselle,*,343,500,BOULAY,Gare sur bretelle d'échangeur                                                                       ,BOULAY (ENTREE)                         ,26-11-1976,Gare isolée
A4        ,SANEF     ,Moselle,*,343,500,BOULAY,Gare sur bretelle d'échangeur                                                                       ,BOULAY (SORTIE)                         ,26-11-1976,Gare isolée
A4        ,SANEF     ,Moselle,*,361,500,,Barrière pleine voie sur l'autoroute                                                                ,SAINT AVOLD,01-07-1971,Gare isolée
A4        ,SANEF     ,Moselle,*,362,300,,Gare sur bretelle d'échangeur                                                                       ,SAINT AVOLD (ENTREE),26-11-1976,Gare isolée
A4        ,SANEF     ,Moselle,*,362,300,,Gare sur bretelle d'échangeur                                                                       ,SAINT AVOLD (SORTIE),26-11-1976,Gare isolée
A4        ,SANEF     ,Moselle,*,374,800,FAREBERSVILLER,Gare sur bretelle d'échangeur                                                                       ,FAREBERSVILLER (ENTREE)                 ,26-11-1976,Gare isolée
A4        ,SANEF     ,Moselle,*,374,800,,Gare sur bretelle d'échangeur                                                                       ,FAREBERSVILLER (SORTIE),26-11-1976,Gare isolée
A4        ,SANEF     ,Moselle,*,379,700,,Barrière pleine voie sur l'autoroute                                                                ,LOUPERSHOUSE,26-11-1976,Gare isolée
A4        ,SANEF     ,Moselle,*,381,600,,Gare sur bretelle d'échangeur                                                                       ,PUTTELANGE,27-06-2002,Gare isolée
A4        ,SANEF     ,Moselle,*,390,200,SARREGUEMINES HAMBACH,Sur échangeur (diffuseur)                                                                           ,SARREGUEMINES,26-11-1976,Gare isolée
A4        ,SANEF     ,Rhin (Bas Rhin),*,408,200,SARRE UNION,Sur échangeur (diffuseur)                                                                           ,SARRE-UNION,26-11-1976,Gare isolée
A4        ,SANEF     ,Moselle,*,428,200,PHALSBOURG,Sur échangeur (diffuseur)                                                                           ,PHALSBOURG,26-11-1976,Gare isolée
A4        ,SANEF     ,Rhin (Bas Rhin),*,439,400,SAVERNE,Sur échangeur (diffuseur)                                                                           ,SAVERNE,26-11-1976,Gare isolée
A4        ,SANEF     ,Rhin (Bas Rhin),*,456,0,,Barrière pleine voie sur l'autoroute                                                                ,SCHWINDRATZHEIM,26-11-1976,Gare principale d'un site de plusieurs gares
A4        ,SANEF     ,Rhin (Bas Rhin),*,456,0,,Gare sur bretelle d'échangeur                                                                       ,HOCHFELDEN(ENTRéE),26-11-1976,Gare secondaire d'un site de plusieurs gares
A4        ,SANEF     ,Rhin (Bas Rhin),*,456,0,,Gare sur bretelle d'échangeur                                                                       ,HOCHFELDEN (SORTIE),26-11-1976,Gare secondaire d'un site de plusieurs gares
A40       ,ATMB      ,Savoie (Haute savoie),*,19,641,,Barrière pleine voie sur l'autoroute                                                                ,CLUSES                                  ,29-11-1974,Gare isolée
A40       ,ATMB      ,Savoie (Haute savoie),*,19,961,CLUSES EST (CLUSES CENTRE),Gare sur bretelle d'échangeur                                                                       ,CLUSES CENTRE (entrée)                  ,01-01-1994,Gare isolée
A40       ,ATMB      ,Savoie (Haute savoie),*,19,961,CLUSES EST (CLUSES CENTRE),Gare sur bretelle d'échangeur                                                                       ,CLUSES CENTRE (sortie)                  ,01-01-1994,Gare isolée
A40       ,ATMB      ,Savoie (Haute savoie),*,24,96,,Gare sur bretelle d'échangeur                                                                       ,SCIONZIER,01-01-1994,Gare isolée
A40       ,ATMB      ,Savoie (Haute savoie),*,37,476,,Gare sur bretelle d'échangeur                                                                       ,BONNEVILLE S 1,01-01-1994,Gare isolée
A40       ,ATMB      ,Savoie (Haute savoie),*,37,476,,Gare sur bretelle d'échangeur                                                                       ,BONNEVILLE S2,01-01-1994,Gare isolée
A40       ,ATMB      ,Savoie (Haute savoie),*,49,29,,Barrière pleine voie sur l'autoroute                                                                ,NANGY,05-02-1982,Gare isolée
A40       ,ATMB      ,Savoie (Haute savoie),*,75,145,,Barrière pleine voie sur l'autoroute                                                                ,VIRY,05-02-1982,Gare isolée
A40       ,ATMB      ,Savoie (Haute savoie),*,90,428,ELOISE ANNECY SEYSSEL,Sur échangeur (diffuseur)                                                                           ,ELOISE,01-01-1994,Gare isolée
A40       ,ATMB      ,Ain,*,99,93,BELLEGARDE-OUEST,Sur échangeur (diffuseur)                                                                           ,BELLEGARDE                              ,01-01-1994,Gare isolée
A40       ,APRR      ,Ain,*,115,849,SYLANS,Sur échangeur (diffuseur)                                                                           ,SYLANS,19-12-1986,Gare isolée
A40       ,APRR      ,Ain,*,125,917,,Gare sur bretelle d'échangeur                                                                       ,ST MARTIN DU FRESNE,19-12-1986,Gare isolée
A40       ,APRR      ,Ain,*,156,559,BOURG SUD,Sur échangeur (diffuseur)                                                                           ,BOURG SUD                               ,25-06-1985,Gare isolée
A40       ,APRR      ,Ain,*,167,629,VIRIAT,Sur échangeur (diffuseur)                                                                           ,VIRIAT                                  ,25-06-1985,Gare isolée
A40       ,APRR      ,Ain,*,176,988,BOURG NORD,Sur échangeur (diffuseur)                                                                           ,BOURG NORD,25-06-1985,Gare isolée
A40       ,APRR      ,Ain,*,188,600,ST GENIS SUR MENTHON,Gare sur bretelle d'échangeur                                                                       ,ST GENIS SUR MENTHON (ENTREE)           ,25-10-1990,Gare isolée
A40       ,APRR      ,Ain,*,188,600,,Gare sur bretelle d'échangeur                                                                       ,ST GENIS SUR MENTHON (SORTIE),26-10-1990,Gare isolée
A40       ,APRR      ,Ain,*,198,630,REPLONGES,Sur échangeur (diffuseur)                                                                           ,REPLONGES,31-05-1987,Gare isolée
A40       ,APRR      ,Ain,*,201,893,FEILLENS,Sur échangeur (diffuseur)                                                                           ,FEILLENS,26-10-1990,Gare isolée
A40       ,APRR      ,Saéne et Loire,*,204,600,,Gare sur bretelle d'échangeur                                                                       ,MACON CENTRE (B1),26-10-1990,Gare isolée
A40       ,APRR      ,Saéne et Loire,*,204,600,,Gare sur bretelle d'échangeur                                                                       ,MACON CENTRE (B2),26-10-1990,Gare isolée
A40       ,APRR      ,Saéne et Loire,*,204,600,,Gare sur bretelle d'échangeur                                                                       ,MACON CENTRE (B3),26-10-1990,Gare isolée
A404      ,APRR      ,Ain,*,5,973,CROIX CHALON,Sur échangeur (diffuseur)                                                                           ,LA CROIX CHALON,29-11-1997,Gare isolée
A404      ,APRR      ,Ain,*,12,500,,Barrière pleine voie sur l'autoroute                                                                ,GROISSIAT,29-11-1997,Gare isolée
A41       ,AREA      ,Isére,*,13,580,,Barrière pleine voie sur l'autoroute                                                                ,BRIGNOUD,18-12-1976,Gare principale d'un site de plusieurs gares
A41       ,AREA      ,Isére,*,13,580,,Gare sur bretelle d'échangeur                                                                       ,BRIGNOUD (ECHANGEUR ENTREE),18-12-1976,Gare secondaire d'un site de plusieurs gares
A41       ,AREA      ,Isére,*,13,580,,Gare sur bretelle d'échangeur                                                                       ,BRIGNOUD (ECHANGEUR SORTIE),18-12-1976,Gare secondaire d'un site de plusieurs gares
A41       ,AREA      ,Isére,*,23,755,LE TOUVET,Sur échangeur (diffuseur)                                                                           ,LE TOUVET,18-12-1976,Gare isolée
A41       ,AREA      ,Isére,*,33,199,PONTCHARRA,Sur échangeur (diffuseur)                                                                           ,PONTCHARRA,18-12-1976,Gare isolée
A41       ,AREA      ,Savoie,*,95,464,AIX LES BAINS SUD,Sur échangeur (diffuseur)                                                                           ,AIX LES BAINS (SUD),07-10-1987,Gare isolée
A41       ,AREA      ,Savoie,*,102,510,AIX LES BAINS NORD,Sur échangeur (diffuseur)                                                                           ,AIX LES BAINS (NORD),22-12-1977,Gare isolée
A41       ,AREA      ,Savoie (Haute savoie),*,116,0,RUMILLY L'ALBANAIS,Sur échangeur (diffuseur)                                                                           ,RUMILLY,22-12-1979,Gare isolée
A41       ,AREA      ,Savoie (Haute savoie),*,121,947,DIF SEYNOD SUD,Sur échangeur (diffuseur)                                                                           ,SEYNOD SUD,29-11-2010,Gare isolée
A41       ,AREA      ,Savoie (Haute savoie),*,128,419,ANNECY-SUD,Sur échangeur (diffuseur)                                                                           ,ANNECY SUD,11-07-1978,Gare isolée
A41       ,AREA      ,Savoie (Haute savoie),*,133,589,ANNECY NORD,Sur échangeur (diffuseur)                                                                           ,ANNECY NORD,11-07-1978,Gare isolée
A410      ,AREA      ,Savoie (Haute savoie),*,140,50,,Barrière pleine voie sur l'autoroute                                                                ,CRUSEILLES,15-09-1979,Gare principale d'un site de plusieurs gares
A410      ,AREA      ,Savoie (Haute savoie),*,140,360,,Gare sur bretelle d'échangeur                                                                       ,CRUSEILLES (ECHANGEUR ENTREE FERMEE),01-10-1997,Gare secondaire d'un site de plusieurs gares
A410      ,AREA      ,Savoie (Haute savoie),*,140,360,,Gare sur bretelle d'échangeur                                                                       ,CRUSEILLES (ECHANGEUR SORTIE FERMEE),01-10-1997,Gare secondaire d'un site de plusieurs gares
A42       ,APRR      ,Ain,*,9,720,,Barrière pleine voie sur l'autoroute                                                                ,SAINT MAURICE DE BEYNOST,12-04-1983,Gare isolée
A42       ,APRR      ,Ain,*,14,200,LA BOISSE - MONTLUEL,Sur échangeur (diffuseur)                                                                           ,LA BOISSE-MONTLUEL,10-05-2007,Gare isolée
A42       ,APRR      ,Ain,*,18,510,BALAN,Sur échangeur (diffuseur)                                                                           ,DAGNEUX    BALAN,12-04-1983,Gare isolée
A42       ,APRR      ,Ain,*,25,80,PEROUGES,Sur échangeur (diffuseur)                                                                           ,MEXIMIEUX-PEROUGES,12-04-1983,Gare isolée
A42       ,APRR      ,Ain,*,42,540,AMBERIEU EN BUGEY,Sur échangeur (diffuseur)                                                                           ,AMBERIEU,26-11-1988,Gare isolée
A42       ,APRR      ,Ain,*,49,902,PONT D'AIN,Sur échangeur (diffuseur)                                                                           ,PONT D'AIN,26-11-1988,Gare isolée
A43       ,AREA      ,Isére,*,19,285,,Gare sur bretelle d'échangeur                                                                       ,L'ISLE D'ABEAU OUEST(CHESNES),06-11-1973,Gare isolée
A43       ,AREA      ,Isére,*,21,10,L'ISLE D'ABEAU OUEST (BARRIERE),Gare sur bretelle d'échangeur                                                                       ,ST QUENTIN FALLAVIER (ENTRéE RN)        ,06-11-1973,Gare secondaire d'un site de plusieurs gares
A43       ,AREA      ,Isére,*,21,10,,Barrière pleine voie sur l'autoroute                                                                ,SAINT QUENTIN FALLAVIER,06-11-1973,Gare principale d'un site de plusieurs gares
A43       ,AREA      ,Isére,*,21,10,,Gare sur bretelle d'échangeur                                                                       ,ST QUENTIN FALLAVIER (SORTIE RN),06-11-1973,Gare secondaire d'un site de plusieurs gares
A43       ,AREA      ,Isére,*,25,100,L'ISLE D'ABEAU-VILLEFONTAINE,Sur échangeur (diffuseur)                                                                           ,VILLEFONTAINE,20-12-1989,Gare isolée
A43       ,AREA      ,Isére,*,31,345,L'ISLE D'ABEAU EST,Sur échangeur (diffuseur)                                                                           ,ISLE D'ABEAU EST,15-06-1976,Gare isolée
A43       ,AREA      ,Isére,*,37,549,BOURGOIN EST RUY,Sur échangeur (diffuseur)                                                                           ,BOURGOIN JALLIEU,06-11-1973,Gare isolée
A43       ,AREA      ,Isére,*,47,914,LA TOUR DU PIN,Sur échangeur (diffuseur)                                                                           ,LA TOUR DU PIN,19-12-1973,Gare isolée
A43       ,AREA      ,Isére,*,62,380,LES ABRETS CHIMILIN,Sur échangeur (diffuseur)                                                                           ,LES ABRETS,20-10-1974,Gare isolée
A43       ,AREA      ,Savoie,*,66,734,,Gare sur bretelle d'échangeur                                                                       ,BELMONT TRAMONET-ST GENIS SUR GUIERS,17-10-1988,Gare isolée
A43       ,AREA      ,Savoie,*,79,655,AIGUEBELETTE,Sur échangeur (diffuseur)                                                                           ,AIGUEBELETTE,24-10-1974,Gare isolée
A43       ,AREA      ,Savoie,*,88,500,,Barrière pleine voie sur l'autoroute                                                                ,CHAMBERY NORD,25-06-1974,Gare isolée
A43       ,AREA      ,Savoie,*,103,0,,Barrière pleine voie sur l'autoroute                                                                ,CHAMBERY SUD,21-12-1978,Gare principale d'un site de plusieurs gares
A43       ,AREA      ,Savoie,*,103,670,LES MARCHES,Sur échangeur (diffuseur)                                                                           ,CHIGNIN,21-12-1978,Gare secondaire d'un site de plusieurs gares
A43       ,AREA      ,Savoie,*,109,759,MONTMELIAN,Sur échangeur (diffuseur)                                                                           ,MONTMELIAN,18-12-1989,Gare isolée
A43       ,AREA      ,Savoie,*,120,470,CHATEAUNEUF,Sur échangeur (diffuseur)                                                                           ,CHATEAUNEUF (ENTREE),29-10-1991,Gare secondaire d'un site de plusieurs gares
A43       ,AREA      ,Savoie,*,120,470,CHATEAUNEUF,Sur échangeur (diffuseur)                                                                           ,CHATEAUNEUF (SORTIE),29-10-1991,Gare principale d'un site de plusieurs gares
A43       ,AREA      ,Savoie,*,127,454,AITON,Sur échangeur (diffuseur)                                                                           ,AITON,29-10-1991,Gare isolée
A43       ,SFTRF     ,Savoie,*,141,315,ST PIERRE DE BELLEVILLE,Sur échangeur (diffuseur)                                                                           ,EPIERRE,14-01-1997,Gare isolée
A43       ,SFTRF     ,Savoie,*,157,40,STE MARIE DE CUINES,Sur échangeur (diffuseur)                                                                           ,LA CHAMBRE,14-01-1997,Gare isolée
A43       ,SFTRF     ,Savoie,*,163,575,HERMILLON,Gare sur bretelle d'échangeur                                                                       ,HERMILLON (ENTREE ALLANT VERS LYON)     ,20-01-1998,Gare secondaire d'un site de plusieurs gares
A43       ,SFTRF     ,Savoie,*,163,575,HERMILLON,Gare sur bretelle d'échangeur                                                                       ,HERMILLON (SORTIE VERS MODANE)          ,20-01-1987,Gare principale d'un site de plusieurs gares
A43       ,SFTRF     ,Savoie,*,170,288,SAINT JULIEN MONT DENIS,Gare sur bretelle d'échangeur                                                                       ,ST JULIEN MT DENIS(ENTREE VERS MODANE)  ,20-01-1998,Gare principale d'un site de plusieurs gares
A43       ,SFTRF     ,Savoie,*,170,288,,Gare sur bretelle d'échangeur                                                                       ,ST JULIEN MT DENIS(SORTIE VERS ST JUL..),20-01-1998,Gare secondaire d'un site de plusieurs gares
A43       ,SFTRF     ,Savoie,*,176,921,SAINT MICHEL DE MAURIENNE,Gare sur bretelle d'échangeur                                                                       ,ST MICHEL DE MAURIENNE(ECH. ENTREE)     ,20-01-1998,Gare secondaire d'un site de plusieurs gares
A43       ,SFTRF     ,Savoie,*,176,921,,Barrière pleine voie sur l'autoroute                                                                ,ST MICHEL DE MAURIENNE (BPV),20-01-1998,Gare principale d'un site de plusieurs gares
A43       ,SFTRF     ,Savoie,*,176,921,,Gare sur bretelle d'échangeur                                                                       ,ST MICHEL DE MAURIENNE (ECH.SORTIE),20-01-1998,Gare secondaire d'un site de plusieurs gares
A43       ,SFTRF     ,Savoie,*,177,149,SAINT MICHEL DE MAURIENNE,Sur échangeur (diffuseur)                                                                           ,ST MICHEL DE MAURIENNE AMONT,12-07-2000,Gare isolée
