 Autoroute , Societe , Departement , Sens , PR , Absc , Echangeur , Type , Nom gare , Date 1ere m.s. , Site 
A10       ,ASF       ,Sévres (Les deux Sévres),*,343,808,ST. MAIXENT L'ECOLE,Sur échangeur (diffuseur)                                                                           ,ST MAIXENT L'ECOLE-SOUDAN,23-07-1981,Gare isolée
A10       ,ASF       ,Sévres (Les deux Sévres),*,370,58,VOUILLE,Sur échangeur (diffuseur)                                                                           ,VOUILLE (LIMOGES NIORT),23-07-1981,Gare isolée
A10       ,ASF       ,Sévres (Les deux Sévres),*,379,806,NIORT SUD,Sur échangeur (diffuseur)                                                                           ,NIORT SUD,23-07-1981,Gare isolée
A10       ,ASF       ,Charente Maritime,*,412,480,SAINT JEAN D'ANGELY,Sur échangeur (diffuseur)                                                                           ,ST JEAN D'ANGELY,23-07-1981,Gare isolée
A10       ,ASF       ,Charente Maritime,*,439,89,SAINTES,Sur échangeur (diffuseur)                                                                           ,SAINTES,23-07-1981,Gare isolée
A10       ,ASF       ,Charente Maritime,*,460,450,PONS,Sur échangeur (diffuseur)                                                                           ,PONS,03-06-1981,Gare isolée
A10       ,ASF       ,Charente Maritime,*,483,809,MIRAMBEAU,Sur échangeur (diffuseur)                                                                           ,MIRAMBEAU,03-06-1981,Gare isolée
A10       ,ASF       ,Gironde,*,497,489,MONTENDRE (ST AUBIN),Sur échangeur (diffuseur)                                                                           ,SAINT AUBIN DE BLAYE,03-06-1981,Gare isolée
A10       ,ASF       ,Gironde,*,525,372,,Barrière pleine voie sur l'autoroute                                                                ,VIRSAC,05-06-1981,Gare isolée
A11       ,COFIROUTE ,Yvelines,*,31,970,ABLIS,Sur échangeur (diffuseur)                                                                           ,ABLIS,30-12-1972,Gare isolée
A11       ,COFIROUTE ,Eure et Loire,*,55,377,,Gare sur bretelle d'échangeur                                                                       ,CHARTRES EST,30-12-1972,Gare isolée
A11       ,COFIROUTE ,Eure et Loire,*,55,377,,Gare sur bretelle d'échangeur                                                                       ,CHARTRES EST (-),30-12-1972,Gare isolée
A11       ,COFIROUTE ,Eure et Loire,*,68,240,,Gare sur bretelle d'échangeur                                                                       ,THIVARS(-),30-12-1972,Gare isolée
A11       ,COFIROUTE ,Eure et Loire,*,68,240,,Gare sur bretelle d'échangeur                                                                       ,THIVARS (+)I,30-12-1972,Gare isolée
A11       ,COFIROUTE ,Eure et Loire,*,83,440,,Gare sur bretelle d'échangeur                                                                       ,ILLIERS-COMBRAY,,Gare isolée
A11       ,COFIROUTE ,Eure et Loire,*,102,735,LUIGNY,Sur échangeur (diffuseur)                                                                           ,LUIGNY,19-12-1975,Gare isolée
A11       ,COFIROUTE ,Sarthe,*,130,390,LA FERTE BERNARD,Sur échangeur (diffuseur)                                                                           ,LA FERTE BERNARD,19-12-1975,Gare isolée
A11       ,COFIROUTE ,Sarthe,*,170,949,,Sur échangeur (diffuseur)                                                                           ,LE MANS NORD                            ,01-08-1978,Gare isolée
A11       ,ASF       ,Sarthe,*,176,599,LE MANS OUEST,Sur échangeur (diffuseur)                                                                           ,LE MANS OUEST,24-03-1989,Gare isolée
A11       ,COFIROUTE ,Sarthe,*,176,599,LE MANS OUEST,Sur échangeur (diffuseur)                                                                           ,LE MANS OUEST,24-03-1989,Gare isolée
A11       ,ASF       ,Sarthe,*,184,370,LE MANS SUD,Sur échangeur (diffuseur)                                                                           ,LE MANS SUD,05-07-1991,Gare isolée
A11       ,ASF       ,Sarthe,*,215,249,SABLE - LA FLECHE,Sur échangeur (diffuseur)                                                                           ,SABLE LAFLECHE,28-06-1988,Gare isolée
A11       ,ASF       ,Maine et Loire,*,229,35,DURTAL,Sur échangeur (diffuseur)                                                                           ,DURTAL,27-06-1987,Gare isolée
A11       ,ASF       ,Maine et Loire,*,242,131,SEICHES SUR LE LOIR,Sur échangeur (diffuseur)                                                                           ,SEICHES SUR LE LOIR,27-06-1987,Gare isolée
A11       ,ASF       ,Maine et Loire,*,245,80,,Barrière pleine voie sur l'autoroute                                                                ,CORZE (BPV A11),27-06-1987,Gare isolée
A11       ,COFIROUTE ,Maine et Loire,*,285,510,ST GERMAIN DES PRES BEAUPRéAU CHALONNES,Sur échangeur (diffuseur)                                                                           ,ST GERMAIN DES PRES,05-01-1996,Gare isolée
A11       ,COFIROUTE ,Loire Atlantique,*,315,295,,Barrière pleine voie sur l'autoroute                                                                ,ANCENIS,23-12-1980,Gare principale d'un site de plusieurs gares
A11       ,COFIROUTE ,Loire Atlantique,*,315,870,ANCENIS,Sur échangeur (diffuseur)                                                                           ,ANCENIS NORD,23-12-1980,Gare secondaire d'un site de plusieurs gares
A11       ,COFIROUTE ,Loire Atlantique,*,315,870,ANCENIS,Sur échangeur (diffuseur)                                                                           ,ANCENIS SUD,23-12-1980,Gare secondaire d'un site de plusieurs gares
A11       ,COFIROUTE ,Loire Atlantique,*,340,606,,Gare sur bretelle d'échangeur                                                                       ,VIEILLEVILLE NORD,05-01-1996,Gare isolée
A11       ,COFIROUTE ,Loire Atlantique,*,340,606,,Gare sur bretelle d'échangeur                                                                       ,VIEILLEVILLE SUD,05-01-1996,Gare isolée
A13       ,SAPN      ,Yvelines,*,48,200,,Barrière pleine voie sur l'autoroute                                                                ,BUCHELAY,31-12-1996,Gare isolée
A13       ,SAPN      ,Eure,*,90,400,LOUVIERS,Gare sur bretelle d'échangeur                                                                       ,HEUDEBOUVILLE (SENS +)                  ,19-08-1968,Gare secondaire d'un site de plusieurs gares
A13       ,SAPN      ,Eure,*,90,400,LOUVIERS,Sur échangeur (diffuseur)                                                                           ,LOUVIERS,01-12-1968,Gare secondaire d'un site de plusieurs gares
A13       ,SAPN      ,Eure,*,90,400,,Barrière pleine voie sur l'autoroute                                                                ,HEUDEBOUVILLE,19-08-1968,Gare principale d'un site de plusieurs gares
A13       ,SAPN      ,Eure,*,97,582,,Gare sur bretelle d'échangeur                                                                       ,INCARVILLE (ENTREE),18-12-1970,Gare secondaire d'un site de plusieurs gares
A13       ,SAPN      ,Eure,*,97,582,,Gare sur bretelle d'échangeur                                                                       ,INCARVILLE (SORTIE),18-12-1970,Gare principale d'un site de plusieurs gares
A13       ,SAPN      ,Eure,*,130,899,BOURG ACHARD,Sur échangeur (diffuseur)                                                                           ,BOURG ACHARD,31-12-1972,Gare isolée
A13       ,SAPN      ,Eure,*,145,330,BOURNEVILLE PONT AUDEMER,Sur échangeur (diffuseur)                                                                           ,BOURNEVILLE (ENTREE),27-12-1972,Gare secondaire d'un site de plusieurs gares
A13       ,SAPN      ,Eure,*,145,330,BOURNEVILLE PONT AUDEMER,Sur échangeur (diffuseur)                                                                           ,BOURNEVILLE (SORTIE),27-12-1972,Gare principale d'un site de plusieurs gares
A13       ,SAPN      ,Eure,*,167,75,,Gare sur bretelle d'échangeur                                                                       ,BEUZEVILLE ECHANGEUR (ENTREE VERS CAEN),01-12-1976,Gare secondaire d'un site de plusieurs gares
A13       ,SAPN      ,Eure,*,167,75,,Gare sur bretelle d'échangeur                                                                       ,BEUZEVILLE ECHANGEUR (ENTREE VERS PARIS),01-12-1976,Gare secondaire d'un site de plusieurs gares
A13       ,SAPN      ,Eure,*,167,75,,Gare sur bretelle d'échangeur                                                                       ,BEUZEVILLE ECHANGEUR (SORTIE DE CAEN),01-12-1976,Gare secondaire d'un site de plusieurs gares
A13       ,SAPN      ,Eure,*,167,75,,Gare sur bretelle d'échangeur                                                                       ,BEUZEVILLE ECHANGEUR (SORTIE DE PARIS),01-12-1976,Gare principale d'un site de plusieurs gares
A13       ,SAPN      ,Eure,*,167,460,,Barrière pleine voie sur l'autoroute                                                                ,BEUZEVILLE,18-06-1976,Gare isolée
A13       ,SAPN      ,Calvados,*,203,500,,Barrière pleine voie sur l'autoroute                                                                ,DOZULE,29-07-1976,Gare principale d'un site de plusieurs gares
A13       ,SAPN      ,Calvados,*,203,796,DOZULE,Sur échangeur (diffuseur)                                                                           ,DOZULE (ECHANGEUR),01-12-1976,Gare secondaire d'un site de plusieurs gares
A13       ,SAPN      ,Calvados,*,214,490,,Gare sur bretelle d'échangeur                                                                       ,TROARN (ENTREE),15-12-1973,Gare principale d'un site de plusieurs gares
A13       ,SAPN      ,Calvados,*,214,490,,Gare sur bretelle d'échangeur                                                                       ,TROARN (SORTIE),15-12-1973,Gare secondaire d'un site de plusieurs gares
A13       ,SAPN      ,Calvados,-,218,300,,Gare sur bretelle d'échangeur                                                                       ,BIF A13 A813 (SORTIE),05-01-2012,Gare isolée
A13       ,SAPN      ,Calvados,+,218,300,,Gare sur bretelle d'échangeur                                                                       ,BIF A13 A813,05-01-2012,Gare isolée
A131      ,SAPN      ,Eure,*,1,283,,Barrière pleine voie sur l'autoroute                                                                ,BOURNEVILLE,23-07-1992,Gare isolée
A14       ,SAPN      ,Yvelines,-,7,780,,Barrière pleine voie sur l'autoroute                                                                ,MONTESSON SUD,06-11-1996,Gare principale d'un site de plusieurs gares
A14       ,SAPN      ,Yvelines,+,8,140,,Barrière pleine voie sur l'autoroute                                                                ,MONTESSON NORD,06-11-1996,Gare secondaire d'un site de plusieurs gares
A16       ,SANEF     ,Oise,*,42,400,,Barrière pleine voie sur l'autoroute                                                                ,AMBLAINVILLE,20-10-1994,Gare isolée
A16       ,SANEF     ,Oise,*,43,338,AMBLAINVILLE MERU,Sur échangeur (diffuseur)                                                                           ,MERU,20-10-1994,Gare isolée
A16       ,SANEF     ,Oise,*,68,220,BEAUVAIS CENTRE (EX SUD),Sur échangeur (diffuseur)                                                                           ,BEAUVAIS CENTRE,20-10-1994,Gare isolée
A16       ,SANEF     ,Oise,*,72,30,BEAUVAIS EST,Sur échangeur (diffuseur)                                                                           ,BEAUVAIS EST,20-10-1994,Gare isolée
A16       ,SANEF     ,Oise,*,92,510,HARDIVILLERS,Sur échangeur (diffuseur)                                                                           ,HARDIVILLERS,20-10-1994,Gare isolée
A16       ,SANEF     ,Somme,*,108,100,ESSERTAUX,Sur échangeur (diffuseur)                                                                           ,ESSERTAUX,20-10-2006,Gare isolée
A16       ,SANEF     ,Somme,*,123,200,RN 29,Sur échangeur (diffuseur)                                                                           ,SALOUEL,26-06-1995,Gare isolée
A16       ,SANEF     ,Somme,*,126,907,PENETRANTE OUEST D'AMIENS,Sur échangeur (diffuseur)                                                                           ,AMIENS OUEST,27-06-1997,Gare isolée
A16       ,SANEF     ,Somme,*,131,555,AMIENS NORD OUEST,Sur échangeur (diffuseur)                                                                           ,AMIENS NORD,27-06-1997,Gare isolée
A16       ,SANEF     ,Somme,*,149,622,VALLEE DE LA NIEVRE,Sur échangeur (diffuseur)                                                                           ,FLIXECOURT,27-06-1997,Gare isolée
A16       ,SANEF     ,Somme,*,167,566,ABBEVILLE EST,Sur échangeur (diffuseur)                                                                           ,ABBEVILLE EST,27-06-1997,Gare isolée
A16       ,SANEF     ,Somme,*,174,221,ABBEVILLE NORD,Sur échangeur (diffuseur)                                                                           ,ABBEVILLE NORD,15-05-1998,Gare isolée
A16       ,SANEF     ,Somme,*,188,693,COTE PICARDE,Sur échangeur (diffuseur)                                                                           ,RUE,15-05-1998,Gare isolée
